state,fips_state,latitude,longitude
Alabama,1,32.7794,-86.8287
Alaska,2,64.0685,-152.2782
Arizona,4,34.2744,-111.6602
Arkansas,5,34.8938,-92.4426
California,6,37.1841,-119.4696
Colorado,8,38.9972,-105.5478
Connecticut,9,41.6219,-72.7273
Delaware,10,38.9896,-75.505
District of Columbia,11,38.9101,-77.0147
Florida,12,28.6305,-82.4497
Georgia,13,32.6415,-83.4426
Hawaii,15,20.2927,-156.3737
Idaho,16,44.3509,-114.613
Illinois,17,40.0417,-89.1965
Indiana,18,39.8942,-86.2816
Iowa,19,42.0751,-93.496
Kansas,20,38.4937,-98.3804
Kentucky,21,37.5347,-85.3021
Louisiana,22,31.0689,-91.9968
Maine,23,45.3695,-69.2428
Maryland,24,39.055,-76.7909
Massachusetts,25,42.2596,-71.8083
Michigan,23,44.3467,-85.4102
Minnesota,27,46.2807,-94.3053
Mississippi,28,32.7364,-89.6678
Missouri,29,38.3566,-92.458
Montana,30,47.0527,-109.6333
Nebraska,31,41.5378,-99.7951
Nevada,32,39.3289,-116.6312
New Hampshire,33,43.6805,-71.5811
New Jersey,34,40.1907,-74.6728
New Mexico,35,34.4071,-106.1126
New York,36,42.9538,-75.5268
North Carolina,37,35.5557,-79.3877
North Dakota,38,47.4501,-100.4659
Ohio,39,40.2862,-82.7937
Oklahoma,40,35.5889,-97.4943
Oregon,41,43.9336,-120.5583
Pennsylvania,42,40.8781,-77.7996
Rhode Island,44,41.6762,-71.5562
South Carolina,45,33.9169,-80.8964
South Dakota,46,44.4443,-100.2263
Tennessee,47,35.858,-86.3505
Texas,48,31.4757,-99.3312
Utah,49,39.3055,-111.6703
Vermont,50,44.0687,-72.6658
Virginia,51,37.5215,-78.8537
Washington,53,47.3826,-120.4472
West Virginia,54,38.6409,-80.6227
Wisconsin,55,44.6243,-89.9941
Wyoming,56,42.9957,-107.5512
Puerto Rico,,18.2001,-66.6645
